"Story","Title","Result","Date","Stability","Duration (s)"
"Yo como usuario","Abrir gmail google","SUCCESS","2021-05-31T15:20:13.88-05:00[America/Bogota]","0.0","0.36"
"Yo como usuario","Abrir contactos de google","SUCCESS","2021-05-31T15:20:14.248-05:00[America/Bogota]","0.0","0.02"
"Yo como usuario","Abrir Calendar de google","SUCCESS","2021-05-31T15:20:14.271-05:00[America/Bogota]","0.0","0.02"
"Yo como usuario","Abrir cuenta google","SUCCESS","2021-05-31T15:15:45.776-05:00[America/Bogota]","0.0","18.53"
"Yo como usuario","Abrir Busqueda google","SUCCESS","2021-05-31T15:16:05.22-05:00[America/Bogota]","0.0","10.96"
"Yo como usuario","Abrir google maps","SUCCESS","2021-05-31T15:16:17.193-05:00[America/Bogota]","0.0","20.22"
"Yo como usuario","Abrir youtube google","SUCCESS","2021-05-31T15:16:38.206-05:00[America/Bogota]","0.0","16.39"
"Yo como usuario","Abrir traductor google","SUCCESS","2021-05-31T15:16:56.665-05:00[America/Bogota]","0.0","10.58"
